Title,Link,Img
The Sierpinski Penis Game,,https://imgs.xkcd.com/comics/the_sierpinski_penis_game.jpg
Mail,,https://imgs.xkcd.com/comics/mail.png
A Simple Plan,,https://imgs.xkcd.com/comics/a_simple_plan.jpg
Fall Apart,,https://imgs.xkcd.com/comics/fall_apart.jpg
Binary Heart,,https://imgs.xkcd.com/comics/binary_heart.jpg
Family Circus,,https://imgs.xkcd.com/comics/family_circus.jpg
Laser Scope,,https://imgs.xkcd.com/comics/laser_scope.jpg
Back to the Future,,https://imgs.xkcd.com/comics/back_to_the_future.jpg
Moral Relativity,,https://imgs.xkcd.com/comics/moral_relativity.jpg
Find You,,https://imgs.xkcd.com/comics/find_you.jpg
Parallel Universe,,https://imgs.xkcd.com/comics/parallel_universe.jpg
Wright Brothers,,https://imgs.xkcd.com/comics/wright_brothers.png
Snakes on a Plane! 2,,https://imgs.xkcd.com/comics/snakes_on_a_plane_2.jpg
M.C. Hammer Slide,,https://imgs.xkcd.com/comics/mc_hammer_slide.png
Spoiler Alert,,https://imgs.xkcd.com/comics/spoiler_alert.png
Clark Gable,,https://imgs.xkcd.com/comics/clark_gable.jpg
Firefox and Witchcraft - The Connection?,,https://imgs.xkcd.com/comics/firefox_wicca.png
Baring My Heart,,https://imgs.xkcd.com/comics/baring_my_heart.png
Riemann-Zeta,,https://imgs.xkcd.com/comics/riemann-zeta.jpg
Computational Linguists,,https://imgs.xkcd.com/comics/computational_linguists.png
Meerkat,,https://imgs.xkcd.com/comics/meerkat.jpg
City,,https://imgs.xkcd.com/comics/city.jpg
Pong,,https://imgs.xkcd.com/comics/pong.png
50 Ways,,https://imgs.xkcd.com/comics/50_ways.png
Worst Band Name Ever,,https://imgs.xkcd.com/comics/hedgeclipper.jpg
Dating Service,,https://imgs.xkcd.com/comics/dating_service.png
Balloon,,https://imgs.xkcd.com/comics/balloon.png
Quirky Girls,,https://imgs.xkcd.com/comics/quirky_girls.png
